R,xi=-1.0,xi=-0.75,xi=-0.5,xi=-0.25,xi=0.0,xi=0.25,xi=0.5,xi=0.75,xi=1.0
4.401260692936571,1.86437511956466,2.0118826948905535,2.1564977387828717,2.2980631785171446,2.436411676415451,2.5713644789790315,2.7027304954342717,2.830305386433957,2.9538726362865564
4.34767776641839,1.8606498858413953,2.0087099874919283,2.153849514827808,2.2959077793486724,2.4347129414826325,2.570081193183808,2.7018159129935237,2.829706384248259,2.953529331955331
4.294747182538958,1.8569194055075495,2.00553074707056,2.1511944546616704,2.29374563396688,2.433007844175564,2.5687922391179003,2.7008961585106994,2.8291040719777913,2.953183951038034
4.242460999385693,1.8531832357239097,2.0023453165399947,2.14853301702233,2.2915770787219585,2.431296653067202,2.5674978608754584,2.699971931646673,2.828497889028154,2.952835920479492
4.1908113717344255,1.849441696404101,1.9991537371658878,2.1458645444066073,2.289401458924215,2.42957880083287,2.5661972529554347,2.6990433198257615,2.8278878922911876,2.952485110268896
4.139790549872275,1.845694708830529,1.9959554535916528,2.1431890607020887,2.2872192715107187,2.4278548043185686,2.564890955415797,2.698109804264864,2.8272741970041007,2.9521316519751277
4.089390878434848,1.8419418726772525,1.9927510105572386,2.140507091956791,2.285030430730596,2.4261242965378873,2.563579380496402,2.697171283005992,2.82665678880533,2.951775606707403
4.0396047952576,1.8381836397859472,1.9895402509475628,2.137818493063902,2.28283417961881,2.4243868654532497,2.5622621489111888,2.6962279482241414,2.826035582720801,2.951416873010917
3.9904248302411762,1.8344198460041659,1.9863225230958452,2.1351231379023763,2.2806312073740167,2.4226432412140952,2.560938817973229,2.6952797404595876,2.825410552818221,2.9510554334257892
3.9418436042305727,1.8306500472247524,1.9830983941601095,2.1324206266848025,2.278421756456588,2.420893448396221,2.5596096337228658,2.694326671832624,2.824781705517826,2.9506912852863825
3.8938538279079338,1.8268748001199537,1.9798680457139035,2.129711218089932,2.276205549678864,2.41913712089877,2.5582746181157185,2.6933685596454082,2.8241489302524796,2.9503243521989844
3.846448300698838,1.8230939542558666,1.976631277066088,2.1269949652675697,2.2739821366199138,2.4173739117674495,2.5569337241904466,2.6924055689116235,2.8235123502130026,2.949954714170025
3.7996199096918937,1.8193068035726918,1.9733879294810748,2.1242716385203013,2.27175164626161,2.415604149084138,2.555586890908713,2.691437433867489,2.8228717141707262,2.949582197397735
3.7533616285714912,1.8155138497162158,1.9701376854661115,2.12154148192265,2.26951427240679,2.4138277287328713,2.554234029168896,2.690464343187655,2.8222272912861417,2.9492069939164587
3.7076665165635454,1.8117153808154605,1.9668809070246547,2.1188040922559783,2.267269772131107,2.4120446741993216,2.5528752585892454,2.6894861240747536,2.821578553256589,2.9488287967839564
3.6625277173940756,1.807911138747805,1.9636174918813303,2.11605968386335,2.2650183452728636,2.410254896040319,2.5515102793178235,2.688502781911406,2.8209256311721895,2.948447882482617
3.6179384582604643,1.8041010949820775,1.9603472833361943,2.113308324862318,2.262759635296863,2.4084582926410985,2.5501394031828815,2.687514387764024,2.8202691241351485,2.948063866921134
3.573892048815236,1.8002848691738689,1.9570705326233848,2.1105495401351098,2.2604938433198907,2.406655047714051,2.5487622266344894,2.686520349417774,2.819608668450315,2.947676580628125
3.530381880162216,1.7964625859330767,1.9537868023573732,2.1077838139137834,2.2582209495493175,2.404844751497704,2.547378986432463,2.6855212334524188,2.8189438765766623,2.947286873230055
3.4874014238649016,1.7926345059870876,1.950496288372362,2.105010846591314,2.2559406429477677,2.4030277779992013,2.5459896097960684,2.684517269650172,2.81827493276094,2.946894458665291
3.444944230966911,1.788800219549376,1.9471991674719171,2.1022304418293145,2.2536533430975423,2.4012038046670936,2.5445935334994902,2.683507993586982,2.8176018701682093,2.9464987808771275
3.403003931024357,1.7849598993280251,1.943894843092502,2.0994431267440845,2.2513585301810672,2.39937285858781,2.543191393560197,2.682493200251787,2.816924662198463,2.946100038506075
3.361574231150002,1.7811136591795982,1.940583739302155,2.0966482030389546,2.2490564201815886,2.397535194103386,2.54178332497737,2.681473090284591,2.816243181470218,2.94569834301495
3.320648915069045,1.7772609972476168,1.9372659348700318,2.093845561030168,2.2467472405138214,2.395689976439002,2.5403689266640854,2.680447608419892,2.8155574967671035,2.945293632094674
3.28022184218641,1.77340223255562,1.9339406607944973,2.0910358469031207,2.244430091036203,2.393837695156955,2.5389479208016246,2.6794167792937316,2.8148674812277763,2.944885804057212
3.240286946665387,1.7695374915795385,1.9306083397749694,2.0882189978014867,2.242105462821475,2.3919787613886525,2.5375205682002373,2.678380405197835,2.8141731836671102,2.9444749145706974
3.200838236517489,1.7656661592242133,1.9272692890847334,2.085394829081179,2.2397737974301486,2.3901128736908004,2.5360867624309837,2.677338628256823,2.8134745353837567,2.9440608439945484
3.1618697927033903,1.7617886136596874,1.9239232766822605,2.0825629083481254,2.237434821656213,2.3882396063731886,2.5346465606662494,2.676291252306166,2.812771491657634,2.94364367143117
3.1233757682448116,1.7579050657604256,1.9205702372349236,2.079723408934618,2.235088177038654,2.3863590617790593,2.5331997836807107,2.675238361587938,2.8120641179164183,2.9432232732248704
3.0853503873472157,1.7540147743250065,1.9172097874833072,2.076876525815039,2.2327337701965786,2.384471386059816,2.5317464818842055,2.674179885553075,2.8113521752295,2.9427997151380483
3.047787944533186,1.7501178715581043,1.9138421722852657,2.0740219382462546,2.2303719014283585,2.3825764121220083,2.530286621923868,2.673115725000051,2.8106359794097044,2.942372906788445
3.0106828037863522,1.7462148085608098,1.9104675013807144,2.0711598926406447,2.228002305542858,2.380674259280468,2.5288200530706315,2.6720460463052,2.809914790360768,2.9419428305193973
2.974029397705741,1.742305414443402,1.9070854210552386,2.0682901129763125,2.2256251440004298,2.378764607592819,2.5273469939072255,2.670970223862375,2.809188968348302,2.941509523813657
2.937822226670423,1.7383896427770695,1.9036962186432695,2.065412600670316,2.223240242026653,2.3768477133580315,2.525867009458404,2.669888714979831,2.80845914889766,2.9410724177551537
2.9020558580143256,1.7344673176563274,1.9002996852058947,2.062527597466636,2.2208475321252834,2.37492334327211,2.524380492370463,2.66880184282838,2.807724806735764,2.9406321830721738
2.8667249252110962,1.7305381567194098,1.8968956650264917,2.0596345587985128,2.2184472310313668,2.3729914979330733,2.5228870322546793,2.6677091908467303,2.806985561225261,2.9401890604100993
2.8318241270688858,1.726602503982348,1.893484505834094,2.0567338503572863,2.2160388531479165,2.371052340678716,2.521386427321844,2.6666104747182517,2.80624163671546,2.9397423720766853
2.7973482269349397,1.7226603142233565,1.8900657754264298,2.0538255086504256,2.213622783426661,2.3691054020015585,2.51987930096604,2.6655059013193214,2.8054930718030207,2.9392921287699014
2.7632920519098674,1.7187112816450059,1.8866395104036076,2.0509089563026612,2.211198854251904,2.3671511510271457,2.518365557382663,2.664395419545622,2.804739823130133,2.9388384638559866
2.7296504920714817,1.7147557069116364,1.8832060748542403,2.047984777677038,2.2087668090484267,2.365189129904797,2.516844779129342,2.6632790487134526,2.8039817484555347,2.938381398584599
2.696418499708086,1.7107934078427187,1.8797648565949305,2.04505274116743,2.2063271270528215,2.36321911165485,2.515316876544134,2.6621566155167473,2.803218935347877,2.9379208026797627
2.6635910885610943,1.7068241104201045,1.8763158187210702,2.042112194782454,2.2038791080916105,2.361241721099123,2.5137820443205134,2.6610282074914613,2.802451222346885,2.9374567000106593
